file,0.000556,0.000306
entertain,0.000328,0.000377
public,0.000253,0.000118
spoke,0.000391,0.000259
spiritairlin,0.000152,0.000118
etc,0.000215,0.000118
deliv,0.000593,0.000447
flyingitforward,0.000063,0.000400
finish,0.000177,0.000118
south,0.000139,0.000447
militari,0.000139,0.000306
stori,0.000341,0.000118
enter,0.000265,0.000330
ctl,0.000152,0.000118
sit,0.003144,0.000730
f,0.000240,0.000306
gg,0.000139,0.000118
idea,0.000556,0.000659
won,0.000063,0.000330
sjc,0.000063,0.000259
comfort,0.000063,0.000330
reimburs,0.000404,0.000259
arriv,0.001919,0.001013
stewardess,0.000177,0.000306
three,0.000859,0.000118
msg,0.000202,0.000118
thnx,0.000063,0.000330
night,0.001528,0.001036
alreadi,0.001679,0.001295
cell,0.000202,0.000118
pls,0.000631,0.000518
uncomfort,0.000164,0.000118
push,0.000354,0.000118
mother,0.000202,0.000118
set,0.000316,0.000589
exact,0.000278,0.000400
cc,0.000240,0.000283
wors,0.000821,0.000118
hold,0.000063,0.000942
philadelphia,0.000303,0.000118
letter,0.000404,0.000118
prevent,0.000189,0.000118
ask,0.001591,0.001060
texa,0.000139,0.000283
cun,0.000063,0.000283
republican,0.000063,0.000259
logan,0.000177,0.000118
dmd,0.000152,0.000377
joke,0.000682,0.000118
fair,0.000278,0.000283
fill,0.000391,0.000353
news,0.000189,0.000565
shuttl,0.000164,0.000118
unreli,0.000139,0.000118
batteri,0.000139,0.000118
americanairlin,0.000328,0.000259
design,0.000189,0.000118
midway,0.000063,0.000259
chat,0.000152,0.000118
unload,0.000152,0.000118
americanair,0.000745,0.001060
destinationdragon,0.000215,0.001743
interview,0.000177,0.000118
mani,0.000934,0.000966
famili,0.000808,0.000824
k,0.000568,0.000471
outsid,0.000227,0.000118
bdl,0.000164,0.000118
supervisor,0.000492,0.000283
brought,0.000063,0.000259
star,0.000063,0.000306
understaf,0.000202,0.000118
harder,0.000139,0.000118
afford,0.000202,0.000118
carri,0.000442,0.000707
crew,0.001944,0.002285
redeem,0.000227,0.000283
improv,0.000278,0.000306
hand,0.000366,0.000330
folk,0.000303,0.000400
some,0.001616,0.001790
pa,0.000152,0.000118
done,0.000985,0.001437
meal,0.000404,0.000259
anyway,0.000278,0.000377
ladi,0.000227,0.000471
dumb,0.000152,0.000118
storm,0.000404,0.000424
ground,0.000960,0.000565
attend,0.001351,0.001342
